# Gothic word list, compiled by Dr. Moritz Heyne, published in 1896
# Herkunft: goth_heyne.txt (Dr. Moritz Heyne, 1896), ASCII
# bearbeitet mit Lotus WordPro 9.7, Text-Importeinstellung: Codepage 1252,
# Wagenrücklauf nach jedem Absatz
# 1. Durchgehen: 03/07.2007 .. 05/07.2007
# 2. Durchgehen inkl. Streichung falscher Wörter 06/07.2007 .. 08.07.2007
# An asterisk * denotes a reconstructed word which has not been testified.
Iudas|Judas
Iuse|Jose
Ja|ja
Jaeirus|s. Iaeirus
Jairupula|Hierapolis
Janna|Janne
Jannes|s. Jannis
Jannis|Jannes
Jaurdanus|s. Iaurdanus
Judaius|s. Iudaius
Judas|Judaius, s. Iudas, ludaius
Justus|Justus
Kaballarja|Aret. Urk. (keine Übersetzung in Heyne vorhanden)
Kaeinan|Kainan
Kafarnaum|Kapharnaum
Kaidmeiel|Kadmiel
Kaidron|der Bach Kedron
Kaisaria|(gen. Kaisarias), Cäsarea
Kajafa|Kaiphas
Kananeites|Kananäer
Kareiaþiaareim|Kariathiarim
Karpus|Karpus
Kaulaussaius|Kolosser
Kaurazein|Korazin
Kaurinþaius|s. Kaurinþius
Kaurinþius|Korinther
Kaurinþo|Korinth
Kefas|Kefas
Kileikia|(gen. -ais), Cilicien
Klemaintus|Clemens
Kosam|Kosan
Kreks|Grieche, Heide
Kreta|Kreta
Kretes|plur., die Kreter
Krispus|Krispus
Kusa|Chusa
Kustanteinus|Constantin
Kyreinaius|Einwohner von Kyrene
Laggamodei|Langmut
Laiwweis|Levi
Laiwweiteis|Fremdw., Leviten
Lamaik|Lamech
Laudeikaia|(dat. -kaia u. -kaion), Laodikia
Lauidja|Lois
Lazarus|Lazarus
Lazzarus|s. Lazarus
Lod|Lot
Lukas|Lukas
Lukius|Lukius
Lyddomaeis|Lyddomais
Lysanius|Lysanias
Lystra|(dat. Lystrys), Lystra
